ID,プロジェクト名,開始時刻,終了時刻,計測時間(分),メモ,アーカイブ済み,アーカイブ日時
Wi0CR7K5VSzpv8bSt4wF,HaruNoa開発,2026-02-05 00:40:26,2026-02-05 00:40:47,0,,いいえ,
A0iqdI4byrz6RXlP6stA,HaruNoa開発,2026-02-05 00:20:34,2026-02-05 00:20:51,0,,いいえ,
3WjYqYKdHv3PAy0akKnC,HaruNoa開発,2026-02-04 23:29:05,2026-02-04 23:29:13,0,,いいえ,
WIZGqhfOsCvoVcnUuaHA,HaruNoa開発,2026-02-04 20:56:25,2026-02-04 20:56:32,0,,いいえ,
L79iS3TuaMi354Uqnji0,TOEIC学習,2026-02-04 19:30:00,2026-02-04 19:31:00,1,修正後のメモ,いいえ,
VCr6n3Vy0mYYHIEunDUc,HaruNoa開発,2026-02-04 19:24:47,2026-02-04 19:25:29,1,,いいえ,
nWjOHtcNgKzd5NxhkXjw,HaruNoa開発,2026-02-04 19:23:35,2026-02-04 19:24:17,0,,いいえ,
uqM3IhxlVfJwNv3mKJAj,HaruNoa開発,2026-02-04 17:00:00,2026-02-04 18:30:00,90,,いいえ,
Da7frERewhWAym4g7liZ,HaruNoa開発,2026-02-03 23:50:00,2026-02-04 00:10:00,20,,いいえ,
XfDSW3MHgkxwcwmTG8YN,プロジェクト3,2026-01-01 10:00:00,2026-01-03 10:00:00,2880,,いいえ,
